       0	  362046	  Ashley	  Wilson	  Robins	      25	       M
      72	  340376	  Henrry	Beristain	    Grey	      25	       H
      73	  340015	  Daniel	 Rojapez	Beristain	      20	       H
      74	  339662	 Abraham	  Wilson	Bustamante	      21	       H
      75	  338961	 Agustin	  Ybarra	Beristain	      25	       H
      76	  338889	  Yuniva	  Robins	 Rojapez	      23	       M
      77	  338757	  Estela	Escamilla	   Rojas	      18	       M
      78	  338675	Fernanda	   Rojas	Trujillo	      20	       M
      79	  338619	   Alexa	  Robins	Bustamante	      21	       M
      80	  338425	  Dayany	Shepherd	  Aripez	      18	       M
      81	  338040	  Thomas	Bañuelos	  Ybarra	      20	       H
      82	  337794	    Alex	Bustamante	Trujillo	      22	       H
      83	  337179	 Abraham	  Aripez	  Ybarra	      24	       H
      84	  337127	 Agustin	   Rojas	  Robins	      19	       H
      85	  335927	   Brisa	  Wilson	    Grey	      22	       M
      86	  335551	  Yuniva	Trujillo	Beristain	      23	       M
      87	  335191	Norberto	  Robins	  Robins	      20	       H
      88	  334360	  Nilton	Bustamante	  Ybarra	      25	       H
      89	  333819	Francisco	Bañuelos	 Rojapez	      24	       H
      90	  333292	  Carlos	Trujillo	  Robins	      20	       H
      91	  333026	    Jose	  Aripez	Bustamante	      19	       H
      92	  332807	 Roberto	 Rojapez	    Grey	      24	       H
      93	  332440	   Alexa	    Grey	    Grey	      18	       M
      94	  332364	Gerrardo	 Rojapez	  Aripez	      23	       H
      95	  331853	  Thomas	 Herrera	   Rojas	      20	       H
      96	  331256	  Blanca	  Wilson	  Wilson	      25	       M
      97	  331195	  Dayana	  Wilson	  Wilson	      22	       M
      98	  330866	 Abraham	  Ybarra	Beristain	      18	       H
      99	  330203	   Julia	  Ybarra	    Grey	      23	       M
