       0	  358987	 America	  Ybarra	   Rojas	      20	       M
      80	  346430	    Jose	 Rojapez	Escamilla	      24	       H
      81	  355507	   Julia	 Herrera	Escamilla	      23	       M
      82	  347855	  Dayany	  Wilson	  Ybarra	      22	       M
      83	  342966	   Maria	  Robins	Bañuelos	      24	       M
      84	  344226	  Blanca	 Rojapez	Escamilla	      18	       M
      85	  361961	   Maria	    Grey	Bañuelos	      25	       M
      86	  343727	   Isaac	 Herrera	 Rojapez	      19	       H
      87	  359584	 Roberto	   Rojas	 Herrera	      19	       H
      88	  334717	    Jose	  Robins	Trujillo	      18	       H
      89	  346988	   Isaac	Trujillo	Escamilla	      18	       H
      90	  348745	 Jessica	  Aripez	Bustamante	      25	       M
      91	  342885	   Josue	    Grey	 Rojapez	      24	       H
      92	  338552	    Alex	Shepherd	  Robins	      21	       H
      93	  340405	   Maria	  Robins	   Leyva	      19	       M
      94	  341054	 Roberto	Bustamante	Trujillo	      23	       H
      95	  349544	  Dayany	  Robins	 Rojapez	      22	       M
      96	  330383	   Isaac	  Ybarra	Bustamante	      23	       H
      97	  354418	  Nilton	Trujillo	   Rojas	      22	       H
      98	  362054	  Thomas	  Wilson	  Ybarra	      18	       H
      99	  335873	  Carlos	    Grey	Escamilla	      22	       H
